id;file_name;file_value;process_date
1;feed Agent Rustic;82681;2020-02-17T10:47:54
2;Personal Loan Account;60616;2020-02-17T08:11:37
3;North Dakota Borders;74377;2020-02-17T00:00:34
4;withdrawal Sports;7146;2020-02-16T20:03:23
5;Programmable Multi-tiered Group;10198;2020-02-16T17:01:02
6;Strategist communities deposit;96697;2020-02-17T03:20:19
7;Credit Card Account;13368;2020-02-16T22:07:32
8;Refined Granite Gloves Electronics;94021;2020-02-17T10:16:21
9;real-time card Buckinghamshire;45060;2020-02-17T03:14:06
10;seize;32843;2020-02-16T18:16:24
